Molecule_ChEMBL_ID	Smiles	Standard_Type	Standard_Value	Standard_Units	Document_Year
CHEMBL24	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1	Papp	0.4	10^-6 cm/s	2022
CHEMBL532	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O	Papp	17.5	10^-6 cm/s	2022
CHEMBL5172952	O=C(Nc1cnc(CN2CCNCC2)nc1)c1cc(C(=O)c2c(Cl)ccc(Cl)c2F)c[nH]1	Papp	0.3	10^-6 cm/s	2022
CHEMBL5186248	CN1CCC(Cc2ccc(NC(=O)c3cc(C(=O)c4c(Cl)ccc(Cl)c4F)c[nH]3)cn2)CC1	Papp	0.7	10^-6 cm/s	2022
CHEMBL5288241	C=CC(=O)Nc1ccc(C(=O)Nc2n[nH]c3ccc(-c4cncc(NC[C@@H](O)c5ccccc5)c4)cc23)cc1	Papp	6	10^-6 cm/s	2022
CHEMBL5276374	C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4cc(OC)c(C)c(OC)c4)nn32)CC1	Papp	5.4	10^-6 cm/s	2023
CHEMBL428647	CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O	Papp	2.42	10^-6 cm/s	2022
CHEMBL5188920	CN1CCN(Cc2ccc(NC(=O)c3cc(C(=O)c4c(Cl)ccc(Cl)c4F)c[nH]3)cn2)CC1	Papp	1	10^-6 cm/s	2022
CHEMBL5281362	COCCCOc1cc2c(cc1OC)-c1cc(=O)c(C(=O)O)cn1[C@H](C(C)(C)C)CO2	Papp	20.4	10^-6 cm/s	2022
CHEMBL5083787	CCCCCC(CCCCC)OCCOCCOCCOCCOc1ccc2nc(/N=N/c3ccc(N(C)C)cc3)sc2c1	Papp	2.46	10^-6 cm/s	2022
CHEMBL5082824	CN(CCCC(F)F)Cc1ccc(COc2ccc3c(CO)cc(=O)oc3c2)cc1	Papp	16	10^-6 cm/s	2022
CHEMBL4464759	Cc1c(C)c2ccc(OCC3CCN(CCCO)CC3)cc2oc1=O	Papp	22	10^-6 cm/s	2022
CHEMBL5082824	CN(CCCC(F)F)Cc1ccc(COc2ccc3c(CO)cc(=O)oc3c2)cc1	Papp	25	10^-6 cm/s	2022
CHEMBL4464759	Cc1c(C)c2ccc(OCC3CCN(CCCO)CC3)cc2oc1=O	Papp	19	10^-6 cm/s	2022
CHEMBL5080765	COc1ccc(Cc2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2)cc1	Papp	1.68	10^-6 cm/s	2022
CHEMBL5090554	OC[C@H]1O[C@@H](Oc2ccc(Cc3ccc(O)c(O)c3)cc2)[C@H](O)[C@@H](O)[C@@H]1O	Papp	2.69	10^-6 cm/s	2022
CHEMBL5197758	O=C(Nc1nc2cccc([C@H]3CC[C@@H](NC(=O)[C@@H]4CC4(F)F)CC3)n2n1)C1CC1	Papp	2.78	10^-6 cm/s	2022
CHEMBL27	CC(C)NCC(O)COc1cccc2ccccc12	Papp	14.36	10^-6 cm/s	2022
CHEMBL27	CC(C)NCC(O)COc1cccc2ccccc12	Papp	17.3	10^-6 cm/s	2022
CHEMBL5202349	CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NCCc4ccc(OC)c(O)c4)nc(OCC(C)C)nc31)[C@H](O)[C@@H]2O	Papp	0.51	10^-6 cm/s	2022
CHEMBL5169875	CN(CC[C@@H](CC(=O)NC1CCC1)NC(=O)c1cc(-c2ccccc2C(F)(F)F)n(C2CCCC2)n1)C1CCCCC1	Papp	68	10^-6 cm/s	2022
CHEMBL5081574	Cc1c(C)c2ccc(OCC3CCN(CCCC(F)F)CC3)cc2oc1=O	Papp	16	10^-6 cm/s	2022
CHEMBL5179520	COc1ccn2c(C(C)=O)cc(C(=O)Nc3cc(C(C)O)cc(-c4cnn(C5CC5)c4)c3F)c2c1	Papp	6.68	10^-6 cm/s	2022
CHEMBL4243517	O=C(C1=C(O)C(=O)N(c2ccc(O)c(C(=O)O)c2)C1c1ccc([N+](=O)[O-])cc1)c1ccccc1	Papp	0.047	10^-6 cm/s	2022
CHEMBL4211714	CC(C)CCC(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CN)C(=O)N[C@@H](CC1CCCC1)C(=O)N1CCC[C@H]1c1nc(-c2ccccc2)cn1CC1CCCCC1)C(C)C	Papp	0.73	10^-6 cm/s	2022
CHEMBL5206101	O=C(Nc1nc2cccc(C3CCC4(CC3)CCN(C(=O)[C@@H]3CC3(F)F)C4)n2n1)C1CC1	Papp	1.6	10^-6 cm/s	2022
CHEMBL5199420	N#CCC(=O)N1CC2(CCC(c3cccc4nc(NC(=O)C5CC5)nn34)CC2)C1	Papp	20.4	10^-6 cm/s	2022
CHEMBL5220884	Cn1ccc2cc(-c3cnc4ccc(C(=O)N5CCCCC5)cc4n3)ccc2c1=O	Papp	45	10^-6 cm/s	2022
CHEMBL5204722	O=C(C[C@H](CCN1CCCC(F)(F)C1)NC(=O)c1cc(-c2ccccc2C(F)(F)F)n(C2CCCC2)n1)NC1CCC1	Papp	36	10^-6 cm/s	2022
CHEMBL5198951	CNC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)CCC(C)C)C(C)C)C(=O)N[C@@H](CC1CCCC1)C(=O)N[C@@H](C)c1nc2cccc(-c3ccccc3)c2[nH]1	Papp	1.97	10^-6 cm/s	2022
CHEMBL5192659	Cc1c(C#N)cccc1[C@@H](C)Nc1nnc(C)c2cnc(N3CCOCC3)cc12	Papp	32.3	10^-6 cm/s	2022
CHEMBL5202841	Cc1c(-c2ccc(-c3c[nH]nc3-c3ccnc(N4CCOCC4)c3)cc2)ccc(S(N)(=O)=O)c1C	Papp	30.4	10^-6 cm/s	2022
CHEMBL5183067	Cn1cc(Nc2nc(NC3(C)CC3)c3c(=O)n(C)ccc3n2)cn1	Papp	67	10^-6 cm/s	2022
CHEMBL5190559	CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(-c5cn(C)nn5)ccc4n3)cn2)CC1	Papp	21	10^-6 cm/s	2022
CHEMBL5195440	Cc1ccc(F)c2cc(C(=O)N[C@@H]3CCC[C@H](N4CCN5C(=O)CC[C@H]5C4)C3)[nH]c12	Papp	17	10^-6 cm/s	2022
